指标,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
亚洲,123074964,122067538,118759869,109634007,104111685,114009975,118838071,113406962,100681186,89903809,73195484,56865091,66411850,56787403,45572692,36640758,29548698,22257956,17130288,14095658,13230823
阿富汗,50068,59980,66759,54121,43129,36182,39356,32826,46405,23001,17527,21351,15163,16944,10049,5121,5697,2645,1991,1726,1989
巴林,112026,148415,113552,90252,79080,101185,123178,123893,120278,88001,79950,47527,65508,38470,28392,18700,12057,8315,5792,5209,4901
孟加拉国,1507570,1732329,1775306,1516902,1430223,1389471,1178227,970509,796991,781057,678882,444132,455607,334489,309040,240274,190627,133467,106627,95517,89959
不丹,1356,1091,1283,624,485,812,1112,1741,1560,1738,159,412,846,539,16,47,35,197,62,160,
文莱,46622,64987,159195,63759,51103,140741,174681,170378,125244,74439,36761,14044,13054,11268,9963,5314,4789,3389,2102,1715,1302
缅甸,1254752,1231099,1054777,894846,818868,965091,936765,733869,567371,482150,347552,225399,197777,169970,120742,93485,93844,91022,72475,49735,49644
柬埔寨,805449,798153,600752,478320,393016,376339,327474,340951,270811,231481,134734,90726,109554,88293,69776,53603,45177,29465,25156,20561,16406
塞浦路斯,89311,58081,73812,52431,46236,58967,103758,97173,109332,112341,134779,120374,112487,69783,35070,28728,18523,21836,22515,11628,15186
朝鲜,49097,257379,221706,324510,308054,294292,351965,363008,353240,316473,227728,188692,203243,139249,123232,108110,79950,62774,46754,57313,45080
中国香港,27257541,27915249,30202160,27921137,28725302,33046279,36307714,38449489,32343062,26798308,21830205,16622857,19072903,18443625,15530907,12447325,10086857,7627437,5846315,4654664,4451829
印度,6671971,7482530,7667566,6804225,5841534,5822803,5421742,4843241,4767751,5053709,4091496,2965604,3158538,2401146,1458130,893428,593601,334323,267116,189627,156073
印度尼西亚,4098123,4564874,4319141,3475739,3212613,3434197,3905961,3693049,3428338,2921724,2195357,1472053,1719311,1260133,944971,835037,625642,448189,342645,283654,306182
伊朗,849184,958999,1393973,1858482,1641866,1777011,2433849,1403665,1159745,1476209,1109199,791911,816343,728405,448895,329659,255476,231516,139330,88898,71344
伊拉克,1092298,946132,790332,833042,754818,790923,774384,689409,491182,382465,358977,183835,127116,68738,49116,40811,14955,5606,42082,39697,32726
以色列,1125361,961496,927442,891847,818106,861595,773911,764530,698813,674080,503705,365234,425700,365600,256132,195434,154199,114090,89944,83261,71884
日本,14261864,14324452,14704868,13725893,12941000,13561644,14939134,15013245,15162183,14827049,12104349,9786766,11613245,10200859,9162267,8398628,7350904,5940870,4843384,4495757,4165431
约旦,318151,367792,296949,280361,295483,342440,336453,343456,295864,251272,188890,195839,182613,109929,97775,83181,62227,46427,30476,22598,20180
科威特,354783,383632,331265,311277,300179,377267,342872,267551,208918,212841,184859,154285,175130,133863,86131,62847,48405,67499,26298,19226,31667
老挝,149128,176245,145400,141935,98710,122576,183948,172258,93414,47627,48362,37717,26811,17794,16872,10338,10088,9824,5431,5441,3442
黎巴嫩,94562,167960,196928,201061,210071,228553,260486,249083,169194,145839,131945,105687,108345,69872,49944,47204,48385,36542,27607,23565,16894
中国澳门,222853,304487,308919,316895,314118,459058,359286,317079,270821,235527,214080,185009,260212,264099,218539,160507,161760,128009,87612,74346,70986
马来西亚,5630131,5214178,4537599,4171228,3767178,4398039,4635339,4593059,3652528,2788598,2380204,1963178,2145517,1768927,1353707,1060635,808606,614089,497421,322026,256487
马尔代夫,27570,34799,39617,29563,32094,17265,10399,9741,7649,9712,6348,4066,3155,2479,1540,1693,791,334,298,210,134
蒙古,161807,182659,164489,123561,98864,157070,221638,244959,265350,273164,144976,106788,90783,68295,43350,31889,23335,15589,14003,12285,11054
尼泊尔,116748,148248,107737,96696,86627,83271,228358,221089,196816,118123,73126,40887,37561,38558,25980,18794,16324,12201,10507,14858,19707
阿曼,307647,302094,286461,231645,214809,211639,206538,190084,181158,99818,94450,74750,79452,54756,33954,19099,11102,8196,6018,6674,5954
