"日期","收盘","开盘","高","低","涨跌幅"
"2022年4月19日","20.1203","19.9709","20.1409","19.9450","0.96%"
"2022年4月18日","19.9294","19.8432","19.9482","19.8129","0.28%"
"2022年4月17日","19.8731","19.8432","19.8918","19.8322","0.22%"
"2022年4月15日","19.8293","19.7346","19.8916","19.7330","0.51%"
"2022年4月14日","19.7294","19.7332","19.7589","19.6432","-0.01%"
"2022年4月13日","19.7312","19.6928","19.8433","19.6869","0.22%"
"2022年4月12日","19.6875","19.6805","19.7526","19.5917","0.11%"
"2022年4月11日","19.6658","19.4902","19.7522","19.4807","0.75%"
"2022年4月8日","19.5195","19.4839","19.5879","19.4369","0.25%"
"2022年4月7日","19.4708","19.4664","19.5035","19.4137","0.06%"
"2022年4月6日","19.4595","19.4268","19.4984","19.4125","0.19%"
"2022年4月5日","19.4227","19.2995","19.4370","19.2320","0.67%"
"2022年4月4日","19.2938","19.2729","19.3239","19.2139","0.24%"
"2022年4月1日","19.2482","19.1917","19.3363","19.1901","0.29%"
"2022年3月31日","19.1919","19.2000","19.2922","19.1268","0.03%"
"2022年3月30日","19.1862","19.3041","19.3598","19.0733","-0.54%"
"2022年3月29日","19.2912","19.4149","19.5084","19.1660","-0.78%"
"2022年3月28日","19.4433","19.1590","19.6432","19.1574","1.43%"
"2022年3月25日","19.1688","19.2148","19.2281","19.0492","-0.21%"
"2022年3月24日","19.2086","19.0124","19.2250","18.9803","1.04%"
"2022年3月23日","19.0105","18.9768","19.0711","18.9209","0.21%"
"2022年3月22日","18.9700","18.7972","19.0214","18.7909","0.94%"
"2022年3月21日","18.7940","18.7346","18.8027","18.7143","0.33%"
"2022年3月18日","18.7330","18.6852","18.7698","18.6502","0.28%"
"2022年3月17日","18.6812","18.6903","18.7383","18.6483","-0.02%"
"2022年3月16日","18.6858","18.5706","18.7547","18.5644","0.66%"
"2022年3月15日","18.5639","18.5644","18.6103","18.4408","0.07%"
"2022年3月14日","18.5506","18.5085","18.5735","18.4980","0.29%"
"2022年3月11日","18.4964","18.3718","18.5132","18.3647","0.70%"
"2022年3月10日","18.3674","18.3349","18.3911","18.3104","0.20%"
"2022年3月9日","18.3315","18.3068","18.3624","18.2875","0.16%"
"2022年3月8日","18.3018","18.2421","18.3346","18.2358","0.34%"
"2022年3月7日","18.2405","18.1671","18.2707","18.1530","0.45%"
"2022年3月4日","18.1582","18.2694","18.2899","18.1402","-0.59%"
"2022年3月3日","18.2667","18.2761","18.3312","18.2559","-0.03%"
"2022年3月2日","18.2718","18.2036","18.3037","18.1846","0.40%"
"2022年3月1日","18.1995","18.2280","18.2747","18.1658","-0.13%"
"2022年2月28日","18.2232","18.2002","18.3419","18.1979","-0.37%"
"2022年2月25日","18.2903","18.2544","18.3261","18.2206","0.22%"
"2022年2月24日","18.2496","18.2082","18.2821","18.0984","0.27%"
"2022年2月23日","18.2012","18.1908","18.2498","18.1677","0.07%"
"2022年2月22日","18.1884","18.1106","18.2275","18.0559","0.44%"
"2022年2月21日","18.1092","18.1682","18.2006","18.1066","-0.38%"
"2022年2月18日","18.1787","18.1332","18.2260","18.1103","0.26%"
"2022年2月17日","18.1315","18.2250","18.2511","18.1157","-0.42%"
"2022年2月16日","18.2079","18.2412","18.2845","18.1980","-0.16%"
"2022年2月15日","18.2369","18.1743","18.2785","18.1341","0.37%"
"2022年2月14日","18.1694","18.1406","18.2082","18.0816","0.05%"
"2022年2月11日","18.1602","18.2583","18.2843","18.0989","-0.50%"
"2022年2月10日","18.2516","18.1535","18.3008","18.1488","0.57%"
"2022年2月9日","18.1488","18.1495","18.1707","18.1252","0.01%"
"2022年2月8日","18.1464","18.0902","18.1658","18.0831","0.35%"
"2022年2月7日","18.0827","18.1954","18.2120","18.0630","-0.14%"
"2022年2月4日","18.1089","18.0742","18.1481","18.0428","0.20%"
"2022年2月3日","18.0728","17.9932","18.0781","17.9728","0.46%"
"2022年2月2日","17.9895","18.0357","18.0490","17.9461","-0.24%"
"2022年2月1日","18.0319","18.0986","18.1112","18.0105","-0.34%"
"2022年1月31日","18.0932","18.1150","18.1740","18.0663","-0.12%"
"2022年1月28日","18.1152","18.1155","18.1894","18.0935","0.08%"
