Country,Index,DefenseSpend,
Iceland,142,0.00 ,
Liberia,141,0.12 ,
Sierra Leone,140,0.19 ,
Bhutan,139,0.29 ,
Laos,138,0.38 ,
Central African Republic,137,0.41 ,
Suriname,136,0.42 ,
Moldova,135,0.48 ,
Somalia,134,0.64 ,
Montenegro,133,0.74 ,
Nicaragua,132,0.88 ,
Tajikistan,131,0.90 ,
Mongolia,130,0.92 ,
Afghanistan,129,0.99 ,
Eritrea,128,1.05 ,
Madagascar,127,1.10 ,
Kosovo,126,1.12 ,
Kyrgyzstan,125,1.16 ,
Zimbabwe,124,1.17 ,
Mozambique,123,1.40 ,
Bosnia and Herzegovina,122,1.78 ,
Albania,121,1.92 ,
North Macedonia,120,1.93 ,
Mauritania,119,1.94 ,
Zambia,118,2.51 ,
South Sudan,117,2.76 ,
Gabon,116,2.81 ,
Georgia,115,2.86 ,
Sudan,114,2.87 ,
Niger,113,2.87 ,
Ghana,112,2.89 ,
Chad,111,2.93 ,
El Salvador,110,2.96 ,
Democratic Republic of the Congo,109,2.99 ,
Republic of the Congo,108,3.48 ,
Paraguay,107,3.53 ,
Namibia,106,3.64 ,
Guatemala,105,3.88 ,
Cameroon,104,3.98 ,
Honduras,103,4.05 ,
Turkmenistan,102,4.07 ,
Luxembourg,101,4.24 ,
Burkina Faso,100,4.34 ,
Nepal,99,4.38 ,
Botswana,98,4.73 ,
Bolivia,97,4.77 ,
Ethiopia,96,5.38 ,
Slovenia,95,5.82 ,
Mali,94,5.91 ,
Dominican Republic,93,6.31 ,
Cambodia,92,6.32 ,
Armenia,91,6.33 ,
Ivory Coast,90,6.51 ,
Uzbekistan,89,6.93 ,
Estonia,88,7.14 ,
Belarus,87,7.23 ,
Panama,86,7.41 ,
Tanzania,85,7.49 ,
Latvia,84,8.54 ,
Uganda,83,9.34 ,
Lebanon,82,10.01 ,
Yemen,81,10.10 ,
Serbia,80,10.59 ,
Angola,79,10.59 ,
Uruguay,78,10.73 ,
Ireland,77,11.00 ,
Bulgaria,76,11.06 ,
Lithuania,75,11.46 ,
Tunisia,74,11.77 ,
Kenya,73,11.86 ,
Bahrain,72,15.39 ,
Azerbaijan,71,17.00 ,
Peru,70,18.30 ,
Sri Lanka,69,18.60 ,
Venezuela,68,19.30 ,
Syria,67,20.21 ,
Jordan,66,20.54 ,
Slovakia,65,20.92 ,
Croatia,64,21.00 ,
Ecuador,63,22.73 ,
Myanmar,62,22.86 ,
South Africa,61,29.11 ,
Thailand,60,29.33 ,
Cuba,59,29.90 ,
Argentina,58,30.65 ,
Czechia,57,32.63 ,
Hungary,56,32.64 ,
Portugal,55,33.60 ,
Austria,54,34.32 ,
Libya,53,34.75 ,
New Zealand,52,37.00 ,
Malaysia,51,37.93 ,
Bangladesh,50,38.90 ,
Kazakhstan,49,39.00 ,
Denmark,48,39.93 ,
Egypt,47,43.57 ,
Philippines,46,43.90 ,
North Korea,45,45.00 ,
Iran,44,50.00 ,
Chile,43,50.58 ,
Romania,42,51.48 ,
Morocco,41,54.39 ,
Belgium,40,55.14 ,
Qatar,39,58.56 ,
Nigeria,38,58.76 ,
Switzerland,37,59.84 ,
Vietnam,36,62.38 ,
Finland,35,63.08 ,
Mexico,34,64.56 ,
Greece,33,66.00 ,
Iraq,32,68.55 ,
Pakistan,31,76.90 ,
Colombia,30,81.39 ,
Kuwait,29,81.72 ,
Norway,28,83.00 ,
Oman,27,83.96 ,
Sweden,26,86.00 ,
Indonesia,25,93.00 ,
Turkey,24,96.90 ,
Algeria,23,97.00 ,
Singapore,22,115.60 ,
Spain,21,117.50 ,
Ukraine,20,118.70 ,
Netherlands,19,142.60 ,
Poland,18,145.00 ,
Taiwan,17,168.00 ,
Israel,16,178.00 ,
Brazil,15,187.85 ,
Canada,14,235.51 ,
United Arab Emirates,13,252.66 ,
Italy,12,291.98 ,
France,11,409.00 ,
Australia,10,446.18 ,
Saudi Arabia,9,460.00 ,
South Korea,8,463.20 ,
Japan,7,474.83 ,
India,6,496.00 ,
Germany,5,503.00 ,
United Kingdom,4,680.00 ,
Russia,3,1540.00 ,
China,2,2502.40 ,
United States,1,7700.00 ,
