	人均纸质图书阅读量	人均电子书阅读量	人均报纸阅读量	人均期刊阅读量		
2021	4.76	3.3	15.13	1.9		
2020	4.7	3.29	15.36	1.94		
2019	4.65	2.84	16.33	2.33		
2018	4.67	3.32	26.38	2.61		
2017	4.66	3.12	33.62	3.81		
2016	4.65	3.21	44.66	3.44		
2015	4.58	3.26	54.76	4.91		
2014	4.56	3.22	65.03	6.07		
2013	4.77	2.48	70.85	5.51		
2012	4.39	2.35	77.2	6.56		
2011	4.35	1.42	100.7	6.67		
2010	4.25		101.16	7.19		
2009	3.88		73.01	6.97		
2008	4.72		88.6	8.2		
2007	4.58		88.8	20.4		
2005	4.5			7.4		
2003						
2001						
1999						
